,Pulse Rate,Body,SpO2,EEG A1-A2,EEG C3-A2,EEG C4-A1,Effort THO,Effort ABD,Tracheal
1410,53.0,6.0,96.69999999999999,47.38342870222016,66.02922102693215,27.66779583428699,0.10223544670786602,-1.3809414816510261,-0.0010223544670786603
1411,53.0,6.0,96.3,27.820630197604302,25.986617837796565,24.763942931258075,5.3482871747920955,3.7552452887769894,0.00010681315327687495
1412,53.0,6.0,95.99999999999999,-10.23512626840623,7.952162966353822,14.829709315632835,4.853894865339131,4.3961242084382395,-0.001052872510872053
1413,53.0,6.0,95.99999999999999,21.401586938277223,33.016998550392884,21.707255664911845,-2.1591515983825436,-1.5915159838254367,-0.0005951018539711605
1414,53.0,6.0,95.69999999999999,20.026077668421422,25.833783474479254,27.820630197604302,-5.271992065308614,-3.2852674143587395,-0.0005951018539711605
1415,53.0,6.0,95.69999999999999,16.052384222171327,26.292286564431187,31.03015182726784,0.46845197222858015,0.21210040436408026,-0.0012970168612191958
1416,54.0,6.0,95.8,-6.108598458838824,-1.8292362859541051,35.30951400015256,3.654535744258793,2.8763256275272755,-0.0009002822919050889
1417,54.0,6.0,95.69999999999999,12.842862592507787,24.30543984130614,19.720408941786797,-1.6556038757915617,-1.637293049515526,-0.0005645838101777676
1418,54.0,6.0,95.69999999999999,20.026077668421422,27.66779583428699,28.126298924238924,-4.310673685816739,-3.2303349355306326,-0.0005951018539711605
1419,54.0,6.0,95.89999999999999,39.283207446402656,43.10406652933544,23.999771114671518,-0.9689478904402228,-1.326009002822919,-0.00038147554741741054
1420,54.0,6.0,95.8,25.069611657892697,18.497734035248307,20.484580758373355,3.160143434805829,1.8234531166552224,-1.5259021896696422e-05
1421,54.0,6.0,95.6,9.174837872892313,9.480506599526937,20.637415121690665,-0.9140154116121156,-0.831616693369955,-0.00022888532845044633
1422,54.0,6.0,95.6,19.720408941786797,10.397512779430805,20.331746395056044,-3.1113145647364004,-2.7725642786297398,-0.00010681315327687495
1423,54.0,6.0,95.6,61.597024490730114,70.7670862897688,4.589806973372973,-1.884489204242008,-2.1591515983825436,-0.00016784924086366064
1424,54.0,6.0,95.6,14.21837186236359,28.126298924238924,44.93807888914318,2.272068360418097,1.0818646524757762,-0.00022888532845044633
1425,54.0,6.0,95.6,-3.5104142824445304,0.9217822537574994,41.11721980621039,-0.4654001678492409,0.5050736247806515,-1.5259021896696422e-05
1426,54.0,6.0,95.39999999999999,2.297291523613302,14.982543678950146,33.1698329137102,-4.036011291676203,-2.00350957503624,-7.629510948348211e-05
1427,54.0,6.0,95.49999999999999,22.92993057145034,22.16575875486378,18.192065308613685,-2.507057297627222,-1.8570229648279546,-0.00016784924086366064
1428,54.0,6.0,95.69999999999999,33.016998550392884,37.44919508659492,14.21837186236359,2.3361562523842223,0.03814755474174106,1.5259021896696422e-05
1429,53.0,6.0,95.6,29.96031128404666,21.401586938277223,16.969390402075195,2.848859388113222,1.0543984130617228,-7.629510948348211e-05
1430,53.0,6.0,95.39999999999999,11.00885023270005,14.3712062256809,13.301365682459721,-0.520332646677348,0.5783169298847944,0.00016784924086366064
1431,53.0,6.0,95.19999999999999,31.641489280537087,50.59295033188369,33.1698329137102,-3.001449607080186,-1.2893873502708477,0.0003509575036240177
1432,53.0,6.0,95.19999999999999,10.091844052796182,39.74171053635459,49.82877851529714,-1.7471580071717403,-0.4470893415732052,0.00022888532845044633
1433,53.0,6.0,94.8,26.445120927748498,16.51088731212326,23.23559929808496,-0.648508430609598,-0.13580529488059814,0.000289921416037232
1434,53.0,6.0,93.6,16.66372167544057,24.763942931258075,29.80747692072935,-0.456244754711223,-0.02594033722438392,1.5259021896696422e-05
1435,53.0,6.0,93.1,15.288212405584769,37.90769817654685,51.35712214847025,0.17547875181200884,0.13885709925993744,0.0003509575036240177
1436,53.0,6.0,93.1,22.92993057145034,37.90769817654685,37.1435263599603,4.267948424505989,1.3473716334782941,0.00025940337224383917
1437,53.0,6.0,93.1,35.30951400015256,28.279133287556235,7.035156786449955,2.537575341420615,1.8966964217593651,0.0005951018539711605
1438,53.0,6.0,93.69999999999999,-5.191592278934955,16.969390402075195,48.30043488212402,-2.1683070115205614,-1.1612115663385978,0.0006256198977645532
1439,52.0,6.0,95.1,6.423819333180709,0.0047760738536312295,22.01292439154647,-1.9668879224841687,-0.575265125505455,0.0008392462043183033
